Property1,Property2,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12
0.773,yes,2.24,0.899259259,2.01434074,2.545,1.78,0.455555556,0.81088889,1.98,1.285353535,0.46,1.97398374,0.909
0.87,yes,2.24,0.899259259,2.01434074,2.545,1.61,0.477777778,0.769222223,2.015,1.263027295,0.63,1.882170543,0.893
0.873,yes,2.24,0.899259259,2.01434074,2.545,1.89,0.477777778,0.903,2.016,1.262400794,0.35,1.882170543,0.892
0.953,yes,2.24,0.899259259,2.01434074,2.545,1.16,0.492592593,0.571407408,2.049,1.242069302,1.08,1.82556391,0.878
0.949,yes,2.24,0.899259259,2.01434074,2.545,1.9,0.496296296,0.942962962,2.047,1.243282853,0.34,1.811940299,0.879
0.799,no,1.4,1.259259259,1.762962963,3.043,0.48,0.348148148,0.167111111,1.907,1.595700052,0.92,3.617021277,1.128
1.42,no,1.4,0.825703704,1.155985185,2.516,2.34,0.764444444,1.788799999,2.428,1.036243822,0.94,1.080135659,0.733
0.9,yes,1.4,0.825703704,1.155985,2.516,1.53,0.444444444,0.679999999,2.006,1.254237288,0.13,1.857833333,0.887
5.738,no,1.4,1.259259259,1.762962963,3.043,0.4,0.113407407,0.045362963,1.499,2.030020013,1,11.10385369,1.435
0.374,no,1.4,1.259259259,1.762962963,3.043,1.39,0.444444444,0.617777777,2.009,1.514683922,0.01,2.833333333,1.071
0.998,no,1.4,1.259259259,1.762962963,3.043,1.81,0.4,0.724,1.87,1.627272727,0.41,3.148148148,1.151
0.49,yes,2.19,0.865851852,1.896215556,2.513,1.83,0.396296296,0.725222222,1.876,1.339552239,0.36,2.184859813,0.947
1.194,no,2.19,0.865851852,1.896215556,2.513,1.4,0.2,0.28,1.627,1.544560541,0.79,4.329259259,1.092
0.838,yes,2.19,0.865851852,1.896215556,2.513,1.78,0.455555556,0.81088889,1.98,1.269191919,0.41,1.900650407,0.897
0.927,yes,2.19,0.865851852,1.896215556,2.513,1.61,0.477777778,0.769222223,2.015,1.247146402,0.58,1.812248062,0.882
0.905,yes,2.19,0.865851852,1.896215556,2.513,1.53,0.444444444,0.679999999,2.006,1.252741775,0.66,1.948166667,0.886
0.998,yes,2.19,0.865851852,1.896215556,2.513,1.9,0.496296296,0.942962962,2.047,1.22765022,0.29,1.744626866,0.868
1.319,no,2.19,0.865851852,1.896215556,2.513,2.22,0.666666667,1.480000001,2.275,1.104615385,0.03,1.298777778,0.781
0.435,yes,2.22,0.888888889,1.973333334,2.532,1.83,0.396296296,0.725222222,1.876,1.349680171,0.39,2.242990654,0.954
0.586,yes,2.34,0.860666667,2.013960001,2.478,1.83,0.396296296,0.725222222,1.876,1.320895522,0.51,2.171775701,0.934
0.902,yes,2.34,0.860666667,2.013960001,2.478,1.78,0.455555556,0.81088889,1.98,1.251515152,0.56,1.889268293,0.885
0.983,yes,2.34,0.860666667,2.013960001,2.478,1.61,0.477777778,0.769222223,2.015,1.229776675,0.73,1.801395349,0.869
0.963,yes,2.34,0.860666667,2.013960001,2.478,1.53,0.444444444,0.679999999,2.006,1.235294118,0.81,1.9365,0.873
1.338,no,2.22,0.888888889,1.973333334,2.532,1.4,0.2,0.28,1.627,1.556238476,0.82,4.444444444,1.1
1.048,yes,2.34,0.860666667,2.013960001,2.478,1.9,0.496296296,0.942962962,2.047,1.210552027,0.44,1.734179104,0.856
1.34,no,2.34,0.860666667,2.013960001,2.478,2.22,0.666666667,1.480000001,2.275,1.089230769,0.12,1.291,0.77
0.728,yes,2.22,0.888888889,1.973333334,2.532,1.56,0.451851852,0.704888889,1.956,1.294478528,0.66,1.967213115,0.915
0.8,yes,2.22,0.888888889,1.973333334,2.532,1.78,0.455555556,0.81088889,1.98,1.278787879,0.44,1.951219512,0.904
0.894,yes,2.22,0.888888889,1.973333334,2.532,1.61,0.477777778,0.769222223,2.015,1.256575682,0.61,1.860465116,0.888
